PostId,PostTypeId,CreationDate,Score,ViewCount,AnswerCount,CommentCount,FavoriteCount,ParentId,AcceptedAnswerId,Title,TagName
"74998062","1","2023-01-03 19:52:48","0","218","0","4","","","","Access file in vm from GitHub actions","github-actions"
"74998584","1","2023-01-03 20:55:51","1","838","1","3","","","75032799","can I run custom JS file in Expo as a script in GitHub actions?","github-actions"
"74999022","1","2023-01-03 21:55:02","0","56","1","0","","","","Jenkins Pipeline: I cannot add a variable from a concatenated command in bash script","jenkins"
"75000125","1","2023-01-04 01:22:29","3","334","1","0","","","","Can we use many language on Github Action Configuration","github-actions"
"75000798","1","2023-01-04 03:52:47","2","2905","3","5","","","75026034","Unexpected value ""with"" in the yml file in the GitHub actions pipeline","github-actions"
"75001295","1","2023-01-04 05:29:44","1","89","0","0","","","","How to define with credentials in groovy script in extended choice parameters","jenkins"
"75001743","1","2023-01-04 06:37:59","0","812","1","1","","","","how to use gitlab variable value inside config file of c#","gitlab-ci"
"75002185","1","2023-01-04 07:32:17","-2","199","1","2","","","","Git reset --hard at the beginning and there is no commit to return back","gitlab-ci"
"75004566","1","2023-01-04 11:11:28","0","174","0","3","","","","Issue executing Github Actions","github-actions"
"75004612","1","2023-01-04 11:15:30","0","235","1","1","","","75005650","Unknown annotations in Azure DevOps Pull Request files tab","azure-devops"
"75004677","1","2023-01-04 11:21:36","3","574","2","0","","","","Jenkinsfile: Disable UI parameter based on Git Branch name multibranch pipeline","jenkins"
"75005137","1","2023-01-04 12:00:32","5","4198","3","1","","","76527927","What is difference between extends and anchor tag (<<: *anchor) in yaml (Gitlab CICD)?","gitlab-ci"
"75005539","1","2023-01-04 12:36:31","2","201","1","0","","","","Create process dump when Jenkins pipeline step runs into timeout","jenkins"
"75005702","1","2023-01-04 12:51:27","0","82","0","3","","","","Unable to open JenkinsCI connector in MS Teams","jenkins"
"75005866","1","2023-01-04 13:03:30","0","750","1","0","","","","Can Jenkins agent machine be configured for two different servers","jenkins"
"75006090","1","2023-01-04 13:21:42","0","209","1","0","","","75013245","How to create ""Python Package Download"" Azure DevOps Service Connection","azure-devops"
"75006601","1","2023-01-04 14:04:22","1","1643","1","1","","","","How to send Jenkins build notification to MS Teams","jenkins"
"75006670","1","2023-01-04 14:10:29","2","843","2","2","","","75011349","Can a github action use the search api?","github-actions"
"75007711","1","2023-01-04 15:29:13","0","1466","0","4","","","","Showing error while SonarQube Quality Gate via GitHub Actions,","github-actions"
"75007889","1","2023-01-04 15:44:35","1","98","0","0","","","","git submodule error - picking up latest commit instead of a specific commit","azure-devops"
"75007984","1","2023-01-04 15:52:35","0","312","2","0","","","75016028","Cannot build angular project in Azure DevOps","azure-devops"
"75008196","1","2023-01-04 16:10:36","0","485","3","2","","","75353887","How can we schedule a pipeline for a later time using REST API in our c# web api?","azure-devops"
"75008430","1","2023-01-04 16:30:14","0","489","1","2","","","75039026","Error while pulling docker image from ECR to EC2 using github actions","github-actions"
"75008490","1","2023-01-04 16:34:52","0","233","0","8","","","","""error: MSB4040 There is no target in the project"" when using MSbuild+Delphi10.2","jenkins"
"75008546","1","2023-01-04 16:40:41","0","189","0","2","","","","jenkins instance is missing when writing spock test","jenkins"
"75008692","1","2023-01-04 16:52:24","2","1071","1","0","","","75272715","Error: The GitHub Action workflow must specify exactly one of ""workload_identity_provider"" or ""credentials_json""","github-actions"
"75008756","1","2023-01-04 16:58:06","2","3014","1","5","","","75011790","running ps2exe in github actions","github-actions"
"75008977","1","2023-01-04 17:16:05","1","261","0","0","","","","Unable to resolve class org.jenkinsci.plugins.workflow.libs.GlobalLibraries in Jenkins","jenkins"
"75009115","1","2023-01-04 17:29:38","0","800","1","8","","","","Google Cloud Function with Github Actions - ERROR: (gcloud.functions.deploy) OperationError: code=3, message=Build failed with status:","github-actions"
"75009518","1","2023-01-04 18:05:11","0","1453","1","0","","","75037789","Where to add safe.directory for Gitlab Docker Executor","gitlab-ci"
"75009635","1","2023-01-04 18:18:37","0","399","1","2","","","75015424","How to fail Azure devops pipeline task specifically for failures in build-steps.yaml file - bash","azure-devops"
"75009848","1","2023-01-04 18:41:51","0","1555","2","2","","","","Is there any SonarQube static code analysis for scanning Rust or Elixir code repositories?","gitlab-ci"
"75010074","1","2023-01-04 19:02:34","1","42","1","1","","","","Does a github deploy key (ssh key) need to be minted on the intended server or can I do it locally?","github-actions"
"75010516","1","2023-01-04 19:41:53","1","92","1","0","","","","git submodules foreach does not have $sm_path defined in Jenkins","jenkins"
"75010666","1","2023-01-04 19:59:14","1","134","0","0","","","","Unable to resolve module ""empty-module.js"" error","jenkins"
"75011261","1","2023-01-04 21:00:46","0","1633","1","0","","","","docker-compose failing in Azure DevOps Server with exit code 1, dockerd might not be running?","azure-devops"
"75011555","1","2023-01-04 21:32:00","0","350","1","0","","","","Is there a way to automate azure devops backlog organization/sorting?","azure-devops"
"75011567","1","2023-01-04 21:33:20","1","1175","1","3","","","75021601","Unable to use default github actions env vars for composite step","github-actions"
"75011811","1","2023-01-04 22:00:47","0","243","1","0","","","75013679","Unauthorized error with git tfs list-remote-branches","azure-devops"
"75011975","1","2023-01-04 22:21:24","0","1208","1","1","","","75026463","Getting a ""Credentials cannot be null"" error when trying to deploy via a devops release pipeline","azure-devops"
"75012319","1","2023-01-04 23:10:02","0","457","1","0","","","","Github Action fails to execute shell command","github-actions"
"75012429","1","2023-01-04 23:28:40","2","2060","1","0","","","","Configure ssh keys for github actions?","github-actions"
"75013781","1","2023-01-05 04:12:48","1","17","0","3","","","","Is there a way to send the feature file annotations in Karate via Jenkins","jenkins"
"75013869","1","2023-01-05 04:33:48","0","304","1","2","","","","why do GitHub Actions over consume minutes?","github-actions"
"75014116","1","2023-01-05 05:16:55","0","477","1","0","","","75141448","How approve backstopjs ref images in GitHub Actions?","github-actions"
"75014308","1","2023-01-05 05:47:19","0","268","0","5","","","","Rolling back to previous version of npm package doesn't work?","github-actions"
"75014392","1","2023-01-05 06:02:24","1","730","2","2","","","","github pull request ignore status checks after pushing commits","jenkins"
"75015519","1","2023-01-05 08:15:59","1","937","1","0","","","75028365","Get File Changes by Pull RequestId in Azure Devops","azure-devops"
"75016073","1","2023-01-05 09:09:45","0","769","3","0","","","","Configure nginx to run jenkins on specific path","jenkins"
"75016804","1","2023-01-05 10:09:36","1","1712","1","1","","","","Github action to validate yaml files using Yamllint","github-actions"
"75016927","1","2023-01-05 10:21:33","0","508","1","3","","","","Yocto Recipe - Trying to fetch source from private Azure GIT repository","azure-devops"
"75017187","1","2023-01-05 10:42:02","0","654","0","5","","","","Sudo apt-get install commands with Jenkins","jenkins"
"75017195","1","2023-01-05 10:42:29","0","2656","1","1","","","","""fatal: no merge base found"" Error when doing ""git diff""","azure-devops"
"75017381","1","2023-01-05 10:58:30","1","705","1","0","","","","(Jenkins) Run function of shared library on load","jenkins"
"75017398","1","2023-01-05 10:59:55","0","549","1","4","","","","Why is Groovy or Jenkins splitting a command into multiple lines","jenkins"
"75017461","1","2023-01-05 11:04:38","0","89","1","0","","","","In Groovy is there a way to execute a `build` step only if there had been changes since the last build?","jenkins"
"75017732","1","2023-01-05 11:27:56","2","1751","2","0","","","75029351","How to check the self-hosted Azure Devops agent configuration details on Linux","azure-devops"
"75017803","1","2023-01-05 11:35:10","0","187","1","0","","","","How to combine trigger filters in azure pipeline?","azure-devops"
"75018572","1","2023-01-05 12:43:21","0","139","2","0","","","75169886","which url is used for testing code by GitHub when we push via GitHub actions added to repository?","github-actions"
"75019198","1","2023-01-05 13:30:39","1","1482","1","0","","","75021109","how to trigger gitlab webhook on merge only","jenkins"
"75019589","1","2023-01-05 13:59:57","1","1182","3","1","","","75085267","How to setup CICD for Azure Databricks using Azure DevOPS?","azure-devops"
"75019602","1","2023-01-05 14:01:16","3","2065","2","0","","","75126601","Use generic-webhook-trigger and pass JSON body as is instead of individual variables","jenkins"
"75020088","1","2023-01-05 14:38:25","0","96","1","2","","","","Is there a solution to automate the versioning of an API inside a spring project?","azure-devops"
"75020224","1","2023-01-05 14:47:28","1","644","0","3","","","","Deployment to AWS ECS using Github Actions is failing","github-actions"
"75020947","1","2023-01-05 15:40:11","3","1371","1","0","","","75026631","Azure DevOps Pipeline conditional script arguments","azure-devops"
"75021055","1","2023-01-05 15:48:37","1","984","1","1","","","","Gitlab CI/CD pipeline: how to run git diff between my current branch and main branch in the CI/CD pipeline?","gitlab-ci"
"75021349","1","2023-01-05 16:11:38","0","1228","2","0","","","75028719","Exclude Trigger in Azure DevOps Pipeline for commits by defined user","azure-devops"
"75021489","1","2023-01-05 16:23:04","1","465","1","3","","","","denied: Not Authorized Error: Process completed with exit code 1","github-actions"
"75021690","1","2023-01-05 16:40:50","3","1685","2","0","","","75049728","Run CircleCI job if any job in the workflow fails","circleci"
"75022791","1","2023-01-05 18:23:02","0","810","2","0","","","75028216","How to get the test result attachments from azure devops (api)","azure-devops"
"75022793","1","2023-01-05 18:23:14","1","196","0","0","","","","In Jenkins declarative pipeline how to get all parameter values","jenkins"
"75023050","1","2023-01-05 18:46:17","0","663","1","1","","","","condition issue with Azure Devops pipeline","azure-devops"
"75023452","1","2023-01-05 19:27:01","2","3901","1","1","","","75036059","How to make a Github Actions workflow update a Check on a Pull Request comment?","github-actions"
"75023493","1","2023-01-05 19:31:25","0","149","1","0","","","","Limiting what a team can see and access in Azure DevOps","azure-devops"
"75023588","1","2023-01-05 19:42:50","0","146","0","3","","","","Artifactory Polling timeout in github action CICD","github-actions"
"75023617","1","2023-01-05 19:46:31","0","90","1","1","","","","Retrigger failed build through a script","jenkins"
"75023794","1","2023-01-05 20:05:36","0","251","1","7","","","","How can I only get the folder names of the current working branch in GitHub Actions?","github-actions"
"75024307","1","2023-01-05 21:00:14","1","946","1","3","","","","How to test my pipeline before changing it?","azure-devops"
"75024379","1","2023-01-05 21:09:16","0","1741","3","4","","","","Looking for Azure Pipeline YAML example for Maui iOS app","azure-devops"
"75024497","1","2023-01-05 21:23:04","-3","89","1","4","","","75033354","""mvn: command not found"" in jenkins job install binary even after setting environment variable properly able to find version ""mvn -v"" on terminal","jenkins"
"75024695","1","2023-01-05 21:47:42","0","624","1","0","","","75025091","Github Actions - How to handle a ) in json when passing it across steps","github-actions"
"75025260","1","2023-01-05 22:59:38","1","411","0","0","","","","Alternate solution to using variable in resources/repositories/repository/ref","azure-devops"
"75025495","1","2023-01-05 23:35:10","0","2320","2","0","","","","How to map forward port on azure container instance using a YAML file","azure-devops"
"75026389","1","2023-01-06 02:34:36","1","196","0","0","","","","How can I set up reviewdog for android and jetpack compose?","github-actions"
"75026556","1","2023-01-06 03:06:30","0","290","0","8","","","","GitHub action workflow not triggering","github-actions"
"75026948","1","2023-01-06 04:33:01","0","870","0","0","","","","How to set a Custom date field to read only in Azure Devops and still be able to populate value in it?","azure-devops"
"75027011","1","2023-01-06 04:45:36","0","110","1","1","","","","How to find the auto-created service connection when deploying to AKS","azure-devops"
"75027182","1","2023-01-06 05:17:20","-1","56","1","0","","","","Reversing the flow of jobs in a workflow","github-actions"
"75027714","1","2023-01-06 06:34:30","0","766","1","0","","","","Jenkins parameters populate dropdown based on first dropdown selection","jenkins"
"75027716","1","2023-01-06 06:34:58","0","5120","3","0","","","","service start jenkins- jenkins.service failed because the control process exited with error code","jenkins"
"75027898","1","2023-01-06 07:00:17","0","17","0","7","","","","Replace a placholder in a file with git commit short sha","gitlab-ci"
"75028080","1","2023-01-06 07:26:35","0","572","1","1","","","","HOw to call function inside function from jenkins shared library in jenkins","jenkins"
"75028183","1","2023-01-06 07:39:52","0","64","1","0","","","","Automatically allow (include) all packages from the public registry in a specific view on Azure Devops Server","azure-devops"
"75028523","1","2023-01-06 08:21:32","1","1137","2","0","","","","Azure container app cannot pull image from azure container registry which are present in different subscriptions","azure-devops"
"75028661","1","2023-01-06 08:41:05","0","257","1","0","","","","How can we get Project ID programmatically for GitLab projects associated with the circleci account","circleci"
"75028812","1","2023-01-06 08:57:25","0","198","2","0","","","","How to use javadoc in a a Jenkinfile pipeline","jenkins"
"75029134","1","2023-01-06 09:31:56","0","226","1","14","","","75060625","Node Express Webpack API Release to Azure Dev Ops","azure-devops"
"75029302","1","2023-01-06 09:46:21","4","1518","2","2","","","75031374","Github Actions to Google Functions 2nd gen","github-actions"
"75029842","1","2023-01-06 10:38:32","0","551","0","4","","","","Automation testing in separate repo github","github-actions"
"75030213","1","2023-01-06 11:13:36","0","339","1","0","","","","Pulling GitHub Actions images via Docker Hub whilst authenticated","github-actions"
"75030513","1","2023-01-06 11:45:55","2","1079","1","0","","","","github actions: how to access badges?","github-actions"
"75030738","1","2023-01-06 12:07:08","-1","383","1","0","","","","Jenkins declarative pipeline to trigger another build, disable it & wait for it to complete","jenkins"
"75030878","1","2023-01-06 12:21:46","1","1393","2","2","","","","Azure DevOps YAML: compare two variables","azure-devops"
"75031047","1","2023-01-06 12:38:37","0","1005","1","1","","","","Azure devops REST API to add comment to specific line of code under commits","azure-devops"
"75032543","1","2023-01-06 14:56:18","0","395","1","0","","","75035597","GitHub Action to publish assets","github-actions"
"75032546","1","2023-01-06 14:56:35","0","59","0","2","","","","Github Actions not accessing download from Newspaper3k","github-actions"
"75032567","1","2023-01-06 14:58:31","0","1802","1","1","","","75048131","How to use runtime defined variable in conditional expression in Azure Pipelines","azure-devops"
"75032649","1","2023-01-06 15:06:09","1","389","1","0","","","","Jenkins automatically add job in gui based on Jenkinsfile in repo","jenkins"
"75032836","1","2023-01-06 15:23:14","3","295","0","1","","","","How to debug jenkins exception: org.jenkinsci.remoting.util.ExecutorServiceUtils$FatalRejectedExecutionException","jenkins"
"75032998","1","2023-01-06 15:38:02","0","130","1","4","","","","Xamarin Android+iOS builds failing on Azure Dev Ops","azure-devops"
"75033020","1","2023-01-06 15:39:56","1","893","1","0","","","75035324","Azure DevOps Task DotNetCoreCLI@2 does not publish my web API project as .zip","azure-devops"
"75033103","1","2023-01-06 15:47:09","1","366","2","5","","","75062327","How to know the structure (body) of rest api azure POST request?","azure-devops"
"75033157","1","2023-01-06 15:52:07","0","47","1","2","","","75034849","If condition is not getting executed in my Jenkinsfile","jenkins"
"75033272","1","2023-01-06 16:01:35","1","805","1","0","","","","Github workflow with multiple types of same event","github-actions"
"75033370","1","2023-01-06 16:11:45","1","730","1","0","","","75035253","Github Workflow / Action commit to repository returning 403","github-actions"
"75033627","1","2023-01-06 16:34:56","2","184","1","0","","","","github actions, split gradle calls accross jobs","github-actions"
"75034348","1","2023-01-06 17:43:07","0","1188","0","0","","","","GitHub Action Error : Process completed with exit code 1","github-actions"
"75034516","1","2023-01-06 18:00:16","0","1334","1","0","","","75034783","How to parse JSON file in Jenkinsfile and read the key value pair","jenkins"
"75035176","1","2023-01-06 19:07:34","1","151","2","1","","","","While querying a json file from groovy getting null response","jenkins"
"75035660","1","2023-01-06 20:10:20","1","400","1","1","","","","Anyone else getting this error? .... Error: std::bad_alloc ... ERROR: job failed exit code 1 deploying Gatsby site","gitlab-ci"
"75035692","1","2023-01-06 20:15:36","0","946","2","1","","","","Unable to update Azure Cloud Service Extended Support via Azure Powershell Task","azure-devops"
"75036102","1","2023-01-06 21:08:43","-1","93","1","0","","","","PowerShell Get-Service | Stop-Service in Azure DevOps no longer working after 1 successful run","azure-devops"
"75036594","1","2023-01-06 22:19:19","0","447","1","0","","","","Azure DevOps sign-in failing with AADSTS900144, and dev.azure.com Sign In routs to Azure Portal","azure-devops"
"75037555","1","2023-01-07 01:41:39","2","342","2","0","","","75170617","Google Service Account's Private Key problems with .NET client tool used to publish Android app to Google Play Console","gitlab-ci"
"75037934","1","2023-01-07 03:28:53","1","4673","1","0","","","75040306","Use outputs in same job in github action returning empty value","github-actions"
"75037954","1","2023-01-07 03:35:14","0","417","1","1","","","","Pypi package multiple platforms Github Actions","github-actions"
"75039873","1","2023-01-07 11:15:19","-1","111","1","0","","","","Issues with Powershell script when running through Jenkins","jenkins"
"75039928","1","2023-01-07 11:23:51","0","123","1","0","","","75040957","gitlab ci REST base URL","gitlab-ci"
"75040690","1","2023-01-07 13:27:47","0","31","1","0","","","","When attemping to copy a dir from repo to container in workflow, it's as if COPY command did nothing","github-actions"
"75041064","1","2023-01-07 14:25:07","2","637","1","1","","","75113809","Using secrets with azure/docker-login","github-actions"
"75041668","1","2023-01-07 15:50:45","3","59","0","0","","","","GitLab Ci: Check if one variable is contained in another one","gitlab-ci"
"75042554","1","2023-01-07 17:51:37","0","734","2","0","","","75042692","Github action runs - but expected output not visible in repo","github-actions"
"75043140","1","2023-01-07 19:18:56","0","130","2","0","","","","Window 10 connection of Github , SSH issues","github-actions"
"75044311","1","2023-01-07 22:47:24","0","865","1","2","","","","Github action yml file and mysql","github-actions"
"75044505","1","2023-01-07 23:33:05","0","412","0","3","","","","CircleCI: job for test using karma","circleci"
"75045263","1","2023-01-08 03:10:13","0","451","1","1","","","","ng test hangs after successful tests in Github Actions","github-actions"
"75045449","1","2023-01-08 04:12:10","0","21","0","3","","","","How do I check that my npm package is installable on all the Node versions and platforms I want to support?","github-actions"
"75045922","1","2023-01-08 06:37:16","1","3171","1","1","","","","Azure DevOps -- using Docker-Compose task to deploy to Azure Container Instances","azure-devops"
"75046888","1","2023-01-08 09:59:29","0","47","1","0","","","","Explore the ado agent task time, Simplejson plugin encounter error:Authentication to data source failed","azure-devops"
"75048080","1","2023-01-08 13:21:55","0","222","0","3","","","","Jenkins and Kubernetes plugin Received fatal alert: protocol_version","jenkins"
"75048422","1","2023-01-08 14:11:48","0","461","1","0","","","","cibuildwheel - CIBW_BEFORE_ALL not working as expected and cannot find installed module","github-actions"
"75048458","1","2023-01-08 14:19:16","0","435","1","0","","","","change agent.name | Azure devops agents","azure-devops"
"75049812","1","2023-01-08 17:12:20","1","1059","1","0","","","75050006","How to override git config global at Azure DevOps local config?","azure-devops"
"75050285","1","2023-01-08 18:18:33","1","50","0","0","","","","docker-compose does not run in gitlab CICD after pull image","gitlab-ci"
"75050481","1","2023-01-08 18:55:32","1","190","0","6","","","","ChromeDriverManager().install() is giving error while running through Jenkins","jenkins"
"75051163","1","2023-01-08 20:47:02","0","681","1","9","","","75063873","Azure DevOps Terraform init issue with code in Github","azure-devops"
"75051695","1","2023-01-08 22:25:31","0","93","1","0","","","75052974","Calling each key and value in json in groovy pipeline","jenkins"
"75051731","1","2023-01-08 22:31:39","1","875","1","1","","","75057462","azure devops with self Hosted agent : can't deploy to aks cluster","azure-devops"
"75051895","1","2023-01-08 22:59:25","2","4590","2","1","","","","Docker Build Failed in Github Actions - failed to read dockerfile","github-actions"
